loc,sesnosr,air_temp,uv,air_humidity,soil_temp
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
Sfax,5f3bef8254a08a195ba8a0a6,,11.84,,21
